band_bound,band_pct,band_slug,n_simulations,benchmark_point_mean_mean,benchmark_point_mean_std,benchmark_point_stddev_mean,benchmark_point_stddev_std,benchmark_point_cvar_50_mean,benchmark_point_cvar_50_std,benchmark_point_cvar_95_mean,benchmark_point_cvar_95_std,benchmark_point_cvar_99_mean,benchmark_point_cvar_99_std,benchmark_point_mae_mean,benchmark_point_mae_std,benchmark_point_worstcase_mean,benchmark_point_worstcase_std,benchmark_empirical_mean_error_mean,benchmark_empirical_mean_error_std,benchmark_empirical_std_error_mean,benchmark_empirical_std_error_std,benchmark_empirical_mae_error_mean,benchmark_empirical_mae_error_std,benchmark_empirical_mse_error_mean,benchmark_empirical_mse_error_std,benchmark_empirical_worst_case_mean,benchmark_empirical_worst_case_std,benchmark_empirical_var_95_mean,benchmark_empirical_var_95_std,benchmark_empirical_var_99_mean,benchmark_empirical_var_99_std,benchmark_empirical_q_1pct_mean,benchmark_empirical_q_1pct_std,benchmark_empirical_q_0_5pct_mean,benchmark_empirical_q_0_5pct_std,benchmark_empirical_q_0_1pct_mean,benchmark_empirical_q_0_1pct_std,benchmark_empirical_cvar_50_mean,benchmark_empirical_cvar_50_std,benchmark_empirical_cvar_90_mean,benchmark_empirical_cvar_90_std,benchmark_empirical_cvar_95_mean,benchmark_empirical_cvar_95_std,benchmark_empirical_cvar_99_mean,benchmark_empirical_cvar_99_std,benchmark_empirical_es_95_mean,benchmark_empirical_es_95_std,benchmark_empirical_es_99_mean,benchmark_empirical_es_99_std,benchmark_empirical_exceedance_left_1pct_mean,benchmark_empirical_exceedance_left_1pct_std,benchmark_empirical_exceedance_left_0_1pct_mean,benchmark_empirical_exceedance_left_0_1pct_std
0.17,17.0,0170,1,-1.5357922315597534,0.0,1.6246529817581177,0.0,17.84332275390625,0.0,46.85478210449219,0.0,68.23106384277344,0.0,10.584381103515623,0.0,117.98361206054688,0.0,-1.5357921481892496,0.0,1.624652983580781,0.0,1.7062583466227894,0.0,4.9981548394976825,0.0,14.946905136108398,0.0,4.447282648086548,0.0,6.60549840927124,0.0,-6.60549840927124,0.0,-7.606110763549805,0.0,-9.679121139526368,0.0,2.712275003504753,0.0,4.87018066573143,0.0,5.790890843868255,0.0,8.03389389514923,0.0,5.790890843868255,0.0,8.03389389514923,0.0,0.01,0.0,0.001,0.0
0.175,17.5,0175,1,-1.5167348384857178,0.0,1.6288845539093018,0.0,17.82094383239746,0.0,46.85871505737305,0.0,68.26775360107422,0.0,10.565475463867188,0.0,117.98361206054688,0.0,-1.5167349126842136,0.0,1.6288845697025278,0.0,1.6943295024062537,0.0,4.9537497367701775,0.0,14.962142944335938,0.0,4.454017925262451,0.0,6.632588844299316,0.0,-6.632588844299316,0.0,-7.620511379241943,0.0,-9.769006406784058,0.0,2.693470075595379,0.0,4.863456128954887,0.0,5.785589353561401,0.0,8.042480294704438,0.0,5.785589353561401,0.0,8.042480294704438,0.0,0.01,0.0,0.001,0.0
0.18,18.0,0180,1,-1.4945333003997805,0.0,1.6315346956253052,0.0,17.787569046020508,0.0,46.85016632080078,0.0,68.27713775634766,0.0,10.543449401855469,0.0,117.98361206054688,0.0,-1.4945333005472232,0.0,1.6315346716525698,0.0,1.681881970475419,0.0,4.895535171249035,0.0,15.126449584960938,0.0,4.455666565895081,0.0,6.549491453170776,0.0,-6.549491453170776,0.0,-7.51359751701355,0.0,-9.563852307319642,0.0,2.670629294717312,0.0,4.844642860531807,0.0,5.762861298084259,0.0,7.995789542198181,0.0,5.762861298084259,0.0,7.995789542198181,0.0,0.01,0.0,0.001,0.0
0.185,18.5,0185,1,-1.4827024936676023,0.0,1.6474305391311646,0.0,17.77603530883789,0.0,46.87033462524414,0.0,68.2940902709961,0.0,10.531454086303713,0.0,117.98361206054688,0.0,-1.4827025646361682,0.0,1.6474305118186925,0.0,1.6792623886463858,0.0,4.91243418644987,0.0,15.126449584960938,0.0,4.457262301445007,0.0,6.603193302154541,0.0,-6.603193302154541,0.0,-7.534861030578613,0.0,-10.039304222106932,0.0,2.665976480746269,0.0,4.863143136382103,0.0,5.789916848182679,0.0,8.073595695495605,0.0,5.789916848182679,0.0,8.073595695495605,0.0,0.01,0.0,0.001,0.0
0.19,19.0,0190,1,-1.468320608139038,0.0,1.659225344657898,0.0,17.76337432861328,0.0,46.88174057006836,0.0,68.27183532714844,0.0,10.517009735107422,0.0,117.98361206054688,0.0,-1.468320631911895,0.0,1.6592252907083884,0.0,1.6742851530660512,0.0,4.9089940434244825,0.0,17.64345932006836,0.0,4.45441632270813,0.0,6.551976232528687,0.0,-6.551976232528687,0.0,-7.450047044754029,0.0,-10.039304222106932,0.0,2.6578631232261656,0.0,4.861883325695992,0.0,5.7890212345123295,0.0,8.05744108915329,0.0,5.7890212345123295,0.0,8.05744108915329,0.0,0.01,0.0,0.001,0.0
0.195,19.5,0195,1,-1.4554105997085571,0.0,1.672482967376709,0.0,17.752941131591797,0.0,46.89916229248047,0.0,68.26136016845703,0.0,10.504032135009766,0.0,117.98361206054688,0.0,-1.455410543702064,0.0,1.6724829157057044,0.0,1.669126465159362,0.0,4.915418954046592,0.0,24.14763641357422,0.0,4.441637563705444,0.0,6.551976232528687,0.0,-6.551976232528687,0.0,-7.528844966888427,0.0,-10.119847730636597,0.0,2.6472077598929404,0.0,4.867463327646256,0.0,5.816248497009277,0.0,8.190530893802643,0.0,5.816248497009277,0.0,8.190530893802643,0.0,0.01,0.0,0.001,0.0
0.2,20.0,0200,1,-1.4429019689559937,0.0,1.6978607177734375,0.0,17.74140739440918,0.0,46.879173278808594,0.0,68.2297592163086,0.0,10.491877555847168,0.0,117.98361206054688,0.0,-1.4429018811285133,0.0,1.697860756399158,0.0,1.6705922016451702,0.0,4.9646969866845225,0.0,24.14763641357422,0.0,4.471882629394531,0.0,6.670451126098633,0.0,-6.670451126098633,0.0,-7.678832550048828,0.0,-10.65935011291504,0.0,2.6477439892053605,0.0,4.910891982793808,0.0,5.883823199272156,0.0,8.336772773265839,0.0,5.883823199272156,0.0,8.336772773265839,0.0,0.01,0.0,0.001,0.0
0.205,20.5,0205,1,-1.4273574352264404,0.0,1.7086145877838137,0.0,17.7215576171875,0.0,46.85208511352539,0.0,68.19359588623047,0.0,10.476306915283203,0.0,117.98361206054688,0.0,-1.4273572994623085,0.0,1.7086146766073418,0.0,1.6662342389239682,0.0,4.956712973446345,0.0,24.14763641357422,0.0,4.470169234275818,0.0,6.60558162689209,0.0,-6.60558162689209,0.0,-7.837672247886657,0.0,-10.65935011291504,0.0,2.637691114091873,0.0,4.90659254515171,0.0,5.884696676254272,0.0,8.383896367549896,0.0,5.884696676254272,0.0,8.383896367549896,0.0,0.01,0.0,0.001,0.0
0.21,21.0,0210,1,-1.4132214784622192,0.0,1.728446364402771,0.0,17.713115692138672,0.0,46.8641242980957,0.0,68.19979858398438,0.0,10.462221145629885,0.0,117.98361206054688,0.0,-1.4132215017257883,0.0,1.7284463526116634,0.0,1.6640354908724009,0.0,4.984721806796655,0.0,24.14763641357422,0.0,4.487759399414062,0.0,6.657454357147217,0.0,-6.657454357147217,0.0,-7.843392524719238,0.0,-10.65937487602234,0.0,2.633106609249115,0.0,4.93698924934864,0.0,5.940311339855194,0.0,8.442950096130371,0.0,5.940311339855194,0.0,8.442950096130371,0.0,0.01,0.0,0.001,0.0
0.215,21.5,0215,1,-1.4010131359100342,0.0,1.7458473443984983,0.0,17.703550338745117,0.0,46.84071350097656,0.0,68.20175170898438,0.0,10.449926376342772,0.0,117.98361206054688,0.0,-1.4010130323597332,0.0,1.7458473793694262,0.0,1.6619999008494066,0.0,5.010820588892908,0.0,24.14763641357422,0.0,4.511723423004151,0.0,6.80510537147522,0.0,-6.80510537147522,0.0,-7.934662203788757,0.0,-10.824143529891968,0.0,2.6270741870880125,0.0,4.961009501695633,0.0,5.987161721229553,0.0,8.588440942764283,0.0,5.987161721229553,0.0,8.588440942764283,0.0,0.01,0.0,0.001,0.0
