band_bound,band_pct,band_slug,simulation_index,eval_seed,run_dir,benchmark_point_agent,benchmark_empirical_agent,benchmark_point_mean,benchmark_point_stddev,benchmark_point_cvar_50,benchmark_point_cvar_95,benchmark_point_cvar_99,benchmark_point_mae,benchmark_point_worstcase,benchmark_empirical_mean_error,benchmark_empirical_std_error,benchmark_empirical_mae_error,benchmark_empirical_mse_error,benchmark_empirical_worst_case,benchmark_empirical_var_95,benchmark_empirical_var_99,benchmark_empirical_q_1pct,benchmark_empirical_q_0_5pct,benchmark_empirical_q_0_1pct,benchmark_empirical_cvar_50,benchmark_empirical_cvar_90,benchmark_empirical_cvar_95,benchmark_empirical_cvar_99,benchmark_empirical_es_95,benchmark_empirical_es_99,benchmark_empirical_exceedance_left_1pct,benchmark_empirical_exceedance_left_0_1pct
0.05,5.0,0050,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0050__sim_01,bs_delta_hedging,bs_delta_hedging,-1.9589853286743164,1.4824907779693604,18.33904457092285,46.89764404296875,68.26757049560547,11.009422302246094,117.98361206054688,-1.958985291584333,1.4824907872615871,1.9876740712067191,6.035402306959234,13.664684295654297,4.707297801971436,6.593350124359131,-6.593350124359131,-7.296404337882995,-8.669250833511352,3.084070388364792,5.048316648960114,5.817191902637481,7.555774204730987,5.817191902637481,7.555774204730987,0.01,0.001
0.055,5.5,0055,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0055__sim_01,bs_delta_hedging,bs_delta_hedging,-1.9364696741104128,1.481072187423706,18.30747604370117,46.87559127807617,68.25806427001953,10.986783981323242,117.98361206054688,-1.9364696493222573,1.4810721339602375,1.9678133344968511,5.943489368739798,13.986352920532228,4.667409324645996,6.556816759109497,-6.556816759109497,-7.280348882675171,-8.628380243301391,3.058978344988823,5.0228195941448215,5.790751026153565,7.5312119221687315,5.790751026153565,7.5312119221687315,0.01,0.001
0.06,6.0,0060,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0060__sim_01,bs_delta_hedging,bs_delta_hedging,-1.913633227348328,1.4786497354507446,18.27646255493164,46.8745346069336,68.2713394165039,10.963829040527344,117.98361206054688,-1.913633024236547,1.4786498607701244,1.948080572557925,5.84839676220422,13.56182861328125,4.642049884796142,6.5286713981628415,-6.5286713981628415,-7.264358978271484,-8.513282343864441,3.0342048290967942,4.989421810150146,5.761703462600708,7.506024572849274,5.761703462600708,7.506024572849274,0.01,0.001
0.065,6.5,0065,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0065__sim_01,bs_delta_hedging,bs_delta_hedging,-1.8959510326385496,1.4790983200073242,18.25637435913086,46.876949310302734,68.26265716552734,10.946090698242188,117.98361206054688,-1.8959509909522008,1.4790984434867778,1.9323978979115128,5.782362365617639,13.6702880859375,4.613599824905395,6.509629859924316,-6.509629859924316,-7.225230569839478,-8.628362558364868,3.017345538496971,4.970574769258499,5.738523643016816,7.501674203872681,5.738523643016816,7.501674203872681,0.01,0.001
0.07,7.000000000000001,0070,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0070__sim_01,bs_delta_hedging,bs_delta_hedging,-1.873540997505188,1.474223494529724,18.22518539428711,46.84733200073242,68.25181579589844,10.92356014251709,117.98361206054688,-1.8735411111150624,1.4742235950262803,1.9138908490595623,5.683491503170472,13.738811492919922,4.573302507400513,6.454766731262207,-6.454766731262207,-7.186649503707885,-8.525015855789185,2.990922780764103,4.93407466506958,5.701158843517304,7.454745650291443,5.701158843517304,7.454745650291443,0.01,0.001
0.075,7.5,0075,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0075__sim_01,bs_delta_hedging,bs_delta_hedging,-1.8524640798568728,1.4755781888961792,18.2000789642334,46.85216522216797,68.25189971923828,10.902392387390137,117.98361206054688,-1.8524640086118047,1.47557810201275,1.896710367270668,5.608953638341668,13.617942810058594,4.55548243522644,6.407966303825378,-6.407966303825378,-7.178422894477844,-8.610658282279969,2.969299944984913,4.912494722604752,5.682715915679932,7.429002482891082,5.682715915679932,7.429002482891082,0.01,0.001
0.08,8.0,0080,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0080__sim_01,bs_delta_hedging,bs_delta_hedging,-1.8292771577835083,1.4782665967941284,18.16785049438477,46.83426284790039,68.27930450439453,10.879068374633787,117.98361206054688,-1.8292771249637976,1.4782665007498148,1.8787440568117693,5.531526647154919,13.617942810058594,4.5495007038116455,6.381986103057861,-6.381986103057861,-7.137917795181274,-8.57233463191986,2.9481910128116606,4.893171727061271,5.6586431159973145,7.395811831951141,5.6586431159973145,7.395811831951141,0.01,0.001
0.085,8.5,0085,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0085__sim_01,bs_delta_hedging,bs_delta_hedging,-1.809626579284668,1.483260989189148,18.145244598388672,46.82076644897461,68.26520538330078,10.859265327453612,117.98361206054688,-1.809626495740956,1.4832609957962082,1.8651760749569373,5.474811235738052,13.617942810058594,4.545652484893799,6.395286407470703,-6.395286407470703,-7.084452543258667,-8.64709775352478,2.929410010254383,4.88489269053936,5.658388850212098,7.38133978843689,5.658388850212098,7.38133978843689,0.01,0.001
0.09,9.0,0090,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0090__sim_01,bs_delta_hedging,bs_delta_hedging,-1.7912873029708862,1.4884519577026367,18.124406814575195,46.83671569824219,68.29013061523438,10.84085750579834,117.98361206054688,-1.791287299432676,1.488451868087011,1.852327161306027,5.424199152720521,14.042680740356444,4.547559094429016,6.335827169418335,-6.335827169418335,-7.065223331451416,-8.67512470626831,2.91389817661047,4.871311273455619,5.644501710891723,7.387804651260376,5.644501710891723,7.387804651260376,0.01,0.001
0.095,9.5,0095,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0095__sim_01,bs_delta_hedging,bs_delta_hedging,-1.7728219032287598,1.4884366989135742,18.10257148742676,46.81143951416016,68.28453826904297,10.822287559509276,117.98361206054688,-1.7728217998784626,1.4884366800585325,1.838718706885784,5.358340884667977,14.32682991027832,4.528627490997314,6.287121696472168,-6.287121696472168,-7.014466485977173,-8.587612118721008,2.8943786471962927,4.846077979445457,5.609109138965606,7.3753094124794,5.609109138965606,7.3753094124794,0.01,0.001
0.1,10.0,0100,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0100__sim_01,bs_delta_hedging,bs_delta_hedging,-1.7526044845581057,1.4990451335906982,18.078508377075195,46.82183837890625,68.2720718383789,10.801950454711914,117.98361206054688,-1.7526045014132954,1.4990451796217965,1.8250400619193188,5.3187589889214895,13.962644577026367,4.514034748077393,6.335827169418335,-6.335827169418335,-7.058867044448853,-8.518460909843444,2.87808265286684,4.8528181790113445,5.6218633527755735,7.425622379779815,5.6218633527755735,7.425622379779815,0.01,0.001
0.105,10.5,0105,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0105__sim_01,bs_delta_hedging,bs_delta_hedging,-1.7332944869995115,1.5001145601272583,18.056625366210938,46.83778381347656,68.26983642578125,10.78266143798828,117.98361206054688,-1.7332945483073334,1.5001145598339116,1.8106368006308304,5.2546536838176126,13.158933639526367,4.494788360595703,6.368452405929565,-6.368452405929565,-7.122599802017212,-8.677626117706298,2.857946049702168,4.832893001317978,5.618833726882935,7.4239831018447875,5.618833726882935,7.4239831018447875,0.01,0.001
0.11,11.0,0110,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0110__sim_01,bs_delta_hedging,bs_delta_hedging,-1.7135502099990845,1.5009647607803345,18.03138732910156,46.81277847290039,68.26390838623047,10.762804985046388,117.98361206054688,-1.713550169438424,1.5009647539282682,1.7951103729680389,5.189149375717396,12.798770904541016,4.467212510108948,6.301790714263916,-6.301790714263916,-7.129765396118164,-8.660562509536744,2.8384601283669477,4.8143787586689,5.600199587345124,7.409682743549347,5.600199587345124,7.409682743549347,0.01,0.001
0.115,11.5,0115,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0115__sim_01,bs_delta_hedging,bs_delta_hedging,-1.6999022960662842,1.5056812763214111,18.01516532897949,46.80361557006836,68.25418853759766,10.749109268188477,117.98361206054688,-1.6999022355558733,1.505681342795486,1.7858088439003947,5.1567439164902735,12.798770904541016,4.467211842536926,6.228150625228881,-6.228150625228881,-7.123416213989258,-8.74352993297577,2.8277833628058437,4.8070909512043,5.589857312679291,7.4183353686332705,5.589857312679291,7.4183353686332705,0.01,0.001
0.12,12.0,0120,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0120__sim_01,bs_delta_hedging,bs_delta_hedging,-1.684772253036499,1.5126774311065674,17.998619079589844,46.81070327758789,68.2310562133789,10.733924865722656,117.98361206054688,-1.6847721425675848,1.5126774397482037,1.7770633303928716,5.126650209094951,13.438362121582031,4.466008925437928,6.230569839477539,-6.230569839477539,-7.125465850830079,-8.806742469787597,2.815637031030655,4.806655368804932,5.598750707626343,7.428923552036285,5.598750707626343,7.428923552036285,0.01,0.001
0.125,12.5,0125,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0125__sim_01,bs_delta_hedging,bs_delta_hedging,-1.6664644479751587,1.5216927528381348,17.9766788482666,46.82300567626953,68.24409484863281,10.715554237365724,117.98361206054688,-1.6664644360674608,1.521692719197375,1.7677053763413395,5.092652448335941,13.23924446105957,4.427589416503906,6.249975223541259,-6.249975223541259,-7.237595500946045,-8.859622276306153,2.800306133437157,4.79971060180664,5.5919511218070985,7.495294919013977,5.5919511218070985,7.495294919013977,0.01,0.001
0.13,13.0,0130,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0130__sim_01,bs_delta_hedging,bs_delta_hedging,-1.6503429412841797,1.5291943550109863,17.958518981933594,46.83160781860352,68.24781036376953,10.699440956115724,117.98361206054688,-1.6503428859159646,1.5291943453699834,1.7571103468245657,5.062066987004967,13.23924446105957,4.430368852615357,6.299293375015258,-6.299293375015258,-7.246156959533692,-8.98542038345337,2.7863869024157526,4.800365983128548,5.608937722682953,7.562495636940002,5.608937722682953,7.562495636940002,0.01,0.001
